"Index" "neutrons" "muons" "gamma" "integration_time.s." "V_in.Volt." "temperature_in..C." "temperature_ext..C." "ur..." "pressure.hPa." "N_jung" "fi" "fp" "Nc" "Nc_SGF" "SM"
"2023-03-25 10:00:00" 664 3438 0 3616 14.3 29 0 0 1006.8 150.988 1.0154565806337 0.985235328562973 664.30789538042 663.568481751726 0.218864511090684
"2023-03-25 11:00:00" 705 3539 0 3615 13 27.3 0 0 1007 151.783 1.01013788234994 0.986734024983119 702.699879999554 662.44864151853 0.220306929547701
"2023-03-25 12:00:00" 624 3526 0 3610 14 28.9 0 0 1006.3 152.324 1.00655023631681 0.981498538711754 616.466813716988 664.144410668365 0.218126987601604
"2023-03-25 13:00:00" 674 3426 0 3616 13.8 28.4 0 0 1005.6 152.155 1.00766822120023 0.976290831270148 663.065863345738 663.020277440864 0.219569242697497
"2023-03-25 14:00:00" 703 3435 0 3616 13 27.5 0 0 1005.2 152.109 1.00797295489893 0.973327413819838 689.704659702657 663.154218063099 0.219396813381767
"2023-03-25 15:00:00" 663 3491 0 3613 14.2 27.9 0 0 1004.4 151.358 1.01297426100187 0.967427536944271 649.726205826856 663.265875983684 0.21925319105047
"2023-03-25 16:00:00" 749 3695 0 3617 13.2 24.7 0 0 1004.5 151.803 1.01000479698505 0.968163061336214 732.409152823766 664.320470289813 0.217902109025603
"2023-03-25 17:00:00" 651 3477 0 3617 13.2 21 0 0 1004.9 151.924 1.00920037779891 0.971110755267334 638.009517056345 665.46474713572 0.216447115461549
"2023-03-25 18:00:00" 668 3419 0 3615 13.1 19.4 0 0 1005.4 151.16 1.01430112593756 0.974807996446578 660.484230710291 667.510147017995 0.213874380670954
"2023-03-25 19:00:00" 713 3549 0 3619 13.1 17.9 0 0 1005.8 151.026 1.01520107926265 0.977775921716488 707.751728925576 667.196995754828 0.214265955679289
"2023-03-25 20:00:00" 651 3475 0 3611 13 17.2 0 0 1005.8 150.624 1.01791054677024 0.977775921716488 647.93276343368 668.583789827902 0.212538138600885
"2023-03-25 21:00:00" 662 3447 0 3612 12.7 16.5 0 0 1005.7 151.426 1.01251937049596 0.977033094326147 654.89338605699 668.265374016325 0.212933424614412
"2023-03-25 22:00:00" 692 3376 0 3614 12.9 15.2 0 0 1005.8 151.559 1.0116308381338 0.977775921716488 684.490606433628 668.839835534838 0.212220894879936
"2023-03-25 23:00:00" 705 3558 0 3614 12.7 14.3 0 0 1006.1 152.254 1.0070130058765 0.98000779418577 695.750819196818 668.671074276423 0.212429930596688
"2023-03-26 00:00:00" 648 3450 0 3615 13.1 15 0 0 1006.3 153.074 1.00161855179012 0.981498538711754 637.040469913726 670.743710920173 0.209879025357616
"2023-03-26 04:00:00" 681 3317 0 3615 12.8 13.9 0 0 1005.5 152.166 1.00759537739522 0.97554913211976 669.394940039084 670.077680409019 0.210694876685573
"2023-03-26 05:00:00" 679 3256 0 3617 12.6 11.6 0 0 1005.5 152.15 1.0077013355026 0.97554913211976 667.499208870847 671.527331212721 0.20892377859429
"2023-03-26 06:00:00" 686 3373 0 3619 12.7 11.3 0 0 1005.4 153.575 0.998351021954884 0.974807996446578 667.615583791093 670.831264358214 0.209772047590188
"2023-03-26 07:00:00" 685 3451 0 3610 12.8 14.7 0 0 1005.2 153.211 1.00072291282428 0.973327413819838 667.211265612318 671.640585803891 0.208786132513073
"2023-03-26 08:00:00" 675 3256 0 3617 12.6 18.4 0 0 1004.8 153.493 0.998884367343926 0.970372991479082 654.271027884821 670.991550800893 0.209576362844747
"2023-03-26 09:00:00" 674 3237 0 3614 13.6 22.4 0 0 1004.4 153.847 0.99658594705598 0.967427536944271 649.820039788593 669.955858747434 0.210844496206779
"2023-03-26 10:00:00" 723 3359 0 3609 14.1 25.6 0 0 1004.3 152.733 1.00385481982755 0.966692571338499 701.61293485243 670.111580881397 0.210653262387506
"2023-03-26 11:00:00" 706 3581 0 3619 13.9 27.6 0 0 1003.7 153.429 0.999301033029749 0.962294488463148 678.90504473844 669.657981506116 0.21121086037427
"2023-03-26 12:00:00" 724 3567 0 3613 13.9 28.2 0 0 1002.8 153.504 0.99881278791902 0.955734853687675 691.130540255571 669.826255037818 0.211003807899338
"2023-03-26 13:00:00" 746 3631 0 3619 14.3 27.7 0 0 1002.4 154.042 0.995324380342512 0.952833831520333 707.490542223808 667.756657530818 0.21356671882106
"2023-03-26 14:00:00" 678 3549 0 3619 14 27.2 0 0 1001.1 153.797 0.99690994100484 0.94346618563688 637.693455596133 664.696291747535 0.217422982458168
"2023-03-26 15:00:00" 730 3364 0 3610 13.4 26 0 0 1000.7 154.309 0.993602176131796 0.940602403586754 682.246754407376 665.458160454883 0.216455458219044
"2023-03-26 16:00:00" 704 3523 0 3616 13.3 26.4 0 0 999.4 154.586 0.991821757447125 0.931355009190748 650.311666064017 666.255563988572 0.215448173116741
"2023-03-26 17:00:00" 771 3597 0 3619 13.1 24.5 0 0 998.3 153.922 0.996100350805741 0.923601336822781 709.319703638258 662.883973658487 0.219744877263557
"2023-03-26 18:00:00" 745 3521 0 3618 13 22.3 0 0 997.4 154.26 0.993917789425135 0.917305460123569 679.23603028945 662.897472776795 0.219727475599098
"2023-03-26 19:00:00" 761 3447 0 3613 13.1 20.3 0 0 996.7 154.352 0.993325374447505 0.912438353059731 689.730956390838 663.564472339954 0.218869655678819
"2023-03-26 20:00:00" 707 3616 0 3618 13.1 16 0 0 997 153.835 0.996663686395952 0.914521085917925 644.409259441897 660.341460216072 0.223051476028663
"2023-03-26 21:00:00" 693 3348 0 3611 12.6 14.7 0 0 998.6 154.163 0.99454316662702 0.925709550320847 638.016068534208 661.997875115021 0.220890687088607
"2023-03-26 22:00:00" 674 3481 0 3614 12.8 13 0 0 997.1 153.627 0.998013097936699 0.915216386123834 615.63021209777 661.365154538788 0.221713149463728
"2023-03-26 23:00:00" 733 3330 0 3617 12.7 11.7 0 0 996.5 153.716 0.997435258507386 0.911052500278017 666.088744532267 661.285551469444 0.221816878888079
"2023-03-27 00:00:00" 650 3343 0 3619 12.6 10.6 0 0 996.2 152.905 1.00272560214984 0.908977666786382 592.445865874935 661.474512888825 0.221570739454506
"2023-03-27 01:00:00" 706 3448 0 3619 13.1 9.9 0 0 996.3 151.751 1.01035089190003 0.909668752392405 648.873752531156 662.586381261073 0.220128913239567
"2023-03-27 02:00:00" 741 3421 0 3611 12.6 9.3 0 0 996.3 151.817 1.00991165809311 0.909668752392405 680.745642830679 661.100882972844 0.222057737279536
"2023-03-27 03:00:00" 723 3445 0 3610 12.7 9.5 0 0 996.1 152.053 1.0083441839143 0.908287106205883 662.17113308688 661.693733772971 0.22128558666714
"2023-03-27 04:00:00" 689 3314 0 3610 12.8 9.5 0 0 995.8 151.761 1.01028431676598 0.906218570630379 630.805964124797 662.852813509635 0.219785051866145
"2023-03-27 05:00:00" 768 3422 0 3623 12.7 8.5 0 0 996.4 153.221 1.00065760043807 0.910360363423125 699.616524900029 661.58139307563 0.221431660521992
"2023-03-27 06:00:00" 683 3555 0 3611 12.3 7.9 0 0 997.1 152.866 1.00298142292414 0.915216386123834 626.956457701534 660.53463850447 0.222798197489848
"2023-03-27 07:00:00" 755 3501 0 3613 12.7 12.3 0 0 997.5 152.909 1.00269937150018 0.918002877258206 694.963085586932 660.188330741945 0.223252487311586
