neutrons,muons,gamma,integration_time.s.,V_in.Volt.,temperature_in..C.,temperature_ext..C.,ur...,pressure.hPa.,N_jung,fi,fp,Nc,Nc_SGF,SM
705,3539,0,3615,13,27.3,0,0,1007,151.783,1.010139472593681,0.9867206944292943,702.691492916995,662.4407348550944,0.22031715332793025
624,3526,0,3610,14,28.9,0,0,1006.3,152.324,1.0065518209125721,0.9814852788881658,616.4594558701906,664.1364837650567,0.21813711890475412
674,3426,0,3616,13.8,28.4,0,0,1005.6,152.155,1.0076698075560229,0.9762776418015117,663.0579493154441,663.0123639546612,0.2195794351404064
703,3435,0,3616,13,27.5,0,0,1005.2,152.109,1.0079745417344579,0.9733142643863018,689.6964277247007,663.146302978246,0.21940699850617806
663,3491,0,3613,14.2,27.9,0,0,1004.4,151.358,1.0129758557108752,0.9674144672167386,649.718451012199,663.2579595661365,0.21926337008089894
749,3695,0,3617,13.2,24.7,0,0,1004.5,151.803,1.0100063870192728,0.9681499816719137,732.4004111458373,664.3125412851435,0.21791223081101138
651,3477,0,3617,13.2,21,0,0,1004.9,151.924,1.0092019665667482,0.9710976357803547,638.0019020863629,665.4568044735205,0.21645717576542894
668,3419,0,3615,13.1,19.4,0,0,1005.4,151.16,1.0143027227354238,0.9747948270107053,660.4763474931036,667.5021799429018,0.21388433268437118
713,3549,0,3619,13.1,17.9,0,0,1005.8,151.026,1.0152026774772995,0.9777627121846151,707.743281546616,667.1890324173548,0.21427592413994764
651,3475,0,3611,13,17.2,0,0,1005.8,150.624,1.0179121492503629,0.9777627121846151,647.9250300246753,668.5758099383321,0.21254803458239338
662,3447,0,3612,12.7,16.5,0,0,1005.7,151.426,1.0125209644888373,0.9770198948297045,654.8855695693936,668.2573979272107,0.212943337156092
692,3376,0,3614,12.9,15.2,0,0,1005.8,151.559,1.0116324307278795,0.9777627121846151,684.482436688065,668.8318525892321,0.21223077757999015
705,3558,0,3614,12.7,14.3,0,0,1006.1,152.254,1.0070145912008004,0.9799945545018041,695.7425150548545,668.6630933450688,0.21243982204713183
648,3450,0,3615,13.1,15,0,0,1006.3,153.074,1.0016201286220172,0.9814852788881658,637.0328665098165,670.7357052508404,0.20988881026845602
681,3317,0,3615,12.8,13.9,0,0,1005.5,152.166,1.0075969636363358,0.9755359526713118,669.3869504680215,670.0696826891009,0.21070469561315638
679,3256,0,3617,12.6,11.6,0,0,1005.5,152.15,1.007702921910527,0.9755359526713118,667.4912419263065,671.5193161904787,0.20893352374519583
686,3373,0,3619,12.7,11.3,0,0,1005.4,153.575,0.9983525936427587,0.9747948270107053,667.6076154575578,670.8232576438866,0.20978182804463208
685,3451,0,3610,12.8,14.7,0,0,1005.2,153.211,1.0007244882461876,0.9733142643863018,667.203302104527,671.6325694298977,0.20879587194090218
675,3256,0,3617,12.6,18.4,0,0,1004.8,153.493,0.9988859398714383,0.970359881959124,654.2632188253873,670.9835421734642,0.20958613514992067
674,3237,0,3614,13.6,22.4,0,0,1004.4,153.847,0.9965875159651254,0.9674144672167386,649.8122838539797,669.9478624815198,0.21085432137859583
723,3359,0,3609,14.1,25.6,0,0,1004.3,152.733,1.0038564001799655,0.9666795115401867,701.6045607431181,670.1035827568601,0.21066307957867805
706,3581,0,3619,13.9,27.6,0,0,1003.7,153.429,0.9993026062132104,0.9622814880819412,678.8969416594133,669.6499887955197,0.21122070084365457
